page,nearest_page,similarity_percent,difference_percent,status,main_text_words
services/naming-ceremony-catering-in-vellore.html,services/shradh-annual-ceremony-catering-in-vellore.html,42.23,57.77,PASS,4976
servicing-areas/thellai-r-f-catering.html,servicing-areas/thellai-catering.html,42.07,57.93,PASS,4498
servicing-areas/thellai-catering.html,servicing-areas/thellai-r-f-catering.html,42.07,57.93,PASS,4199
guides/blogs/live-food-counters-budget-planning-guide-practical-decisions-for-service-timing.html,guides/blogs/live-food-counters-venue-coordination-guide-practical-decisions-for-service-timing.html,42.05,57.95,PASS,3092
guides/blogs/live-food-counters-venue-coordination-guide-practical-decisions-for-service-timing.html,guides/blogs/live-food-counters-budget-planning-guide-practical-decisions-for-service-timing.html,42.05,57.95,PASS,3094
guides/blogs/seemandham-catering-in-vellore-menu-guide-practical-decisions-for-service-timing.html,guides/blogs/seemandham-catering-in-vellore-service-guide-practical-decisions-for-service-timing.html,42.04,57.96,PASS,3126
guides/blogs/seemandham-catering-in-vellore-service-guide-practical-decisions-for-service-timing.html,guides/blogs/seemandham-catering-in-vellore-menu-guide-practical-decisions-for-service-timing.html,42.04,57.96,PASS,3108
services/destination-wedding-catering-in-vellore.html,services/wedding-catering-in-vellore.html,41.86,58.14,PASS,4947
services/government-function-catering-in-vellore.html,services/club-function-catering-in-vellore.html,41.85,58.15,PASS,4845
services/success-party-catering-in-vellore.html,services/graduation-party-catering-in-vellore.html,41.81,58.19,PASS,4920
services/promotion-party-catering-in-vellore.html,services/graduation-party-catering-in-vellore.html,41.7,58.3,PASS,4896
servicing-areas/athiyur-catering.html,servicing-areas/athiyur-r-f-catering.html,41.65,58.35,PASS,4178
servicing-areas/athiyur-r-f-catering.html,servicing-areas/athiyur-catering.html,41.65,58.35,PASS,4519
services/muslim-wedding-catering-in-vellore.html,services/hindu-wedding-catering-in-vellore.html,41.63,58.37,PASS,4927
services/residents-association-catering-in-vellore.html,services/apartment-association-catering-in-vellore.html,41.47,58.53,PASS,4881
services/apartment-association-catering-in-vellore.html,services/residents-association-catering-in-vellore.html,41.47,58.53,PASS,4868
services/pool-party-catering-in-vellore.html,services/graduation-party-catering-in-vellore.html,41.47,58.53,PASS,4943
services/post-wedding-catering-in-vellore.html,services/wedding-catering-in-vellore.html,41.45,58.55,PASS,4705
services/retirement-party-catering-in-vellore.html,services/graduation-party-catering-in-vellore.html,41.43,58.57,PASS,4900
services/cocktail-party-catering-in-vellore.html,services/pool-party-catering-in-vellore.html,41.23,58.77,PASS,4917
guides/blogs/tamil-vegetarian-catering-mistakes-to-avoid-practical-decisions-for-service-timing.html,guides/blogs/tamil-vegetarian-catering-service-guide-practical-decisions-for-service-timing.html,41.23,58.77,PASS,3083
guides/blogs/tamil-vegetarian-catering-service-guide-practical-decisions-for-service-timing.html,guides/blogs/tamil-vegetarian-catering-mistakes-to-avoid-practical-decisions-for-service-timing.html,41.23,58.77,PASS,2990
services/public-function-catering-in-vellore.html,services/government-function-catering-in-vellore.html,41.22,58.78,PASS,4881
services/farewell-party-catering-in-vellore.html,services/promotion-party-catering-in-vellore.html,41.2,58.8,PASS,4927
guides/blogs/award-function-catering-in-vellore-food-counter-guide-for-dietary-requests.html,guides/blogs/award-show-catering-in-vellore-food-counter-guide-for-dietary-requests.html,40.95,59.05,PASS,3105
guides/blogs/award-show-catering-in-vellore-food-counter-guide-for-dietary-requests.html,guides/blogs/award-function-catering-in-vellore-food-counter-guide-for-dietary-requests.html,40.95,59.05,PASS,3121
servicing-areas/new-bus-stand-vellore-catering.html,servicing-areas/old-bus-stand-vellore-catering.html,40.93,59.07,PASS,4804
servicing-areas/old-bus-stand-vellore-catering.html,servicing-areas/new-bus-stand-vellore-catering.html,40.93,59.07,PASS,4765
servicing-areas/sathuvachari-phase-2-catering.html,servicing-areas/sathuvachari-phase-1-catering.html,40.92,59.08,PASS,4543
servicing-areas/sathuvachari-phase-1-catering.html,servicing-areas/sathuvachari-phase-2-catering.html,40.92,59.08,PASS,4495
guides/blogs/filter-coffee-service-budget-planning-guide-practical-decisions-for-summer-events.html,guides/blogs/filter-coffee-service-venue-coordination-guide-practical-decisions-for-summer-events.html,40.89,59.11,PASS,3099
guides/blogs/filter-coffee-service-venue-coordination-guide-practical-decisions-for-summer-events.html,guides/blogs/filter-coffee-service-budget-planning-guide-practical-decisions-for-summer-events.html,40.89,59.11,PASS,3108
services/packaged-meal-catering-in-vellore.html,services/mini-meal-catering-in-vellore.html,40.8,59.2,PASS,4996
services/mini-meal-catering-in-vellore.html,services/packaged-meal-catering-in-vellore.html,40.8,59.2,PASS,4957
services/lawn-party-catering-in-vellore.html,services/graduation-party-catering-in-vellore.html,40.77,59.23,PASS,4937
services/naming-day-catering-in-vellore.html,services/father-s-day-catering-in-vellore.html,40.68,59.32,PASS,4921
guides/blogs/filter-coffee-service-service-guide-practical-decisions-for-service-timing.html,guides/blogs/filter-coffee-service-menu-guide-practical-decisions-for-service-timing.html,40.61,59.39,PASS,3017
guides/blogs/filter-coffee-service-menu-guide-practical-decisions-for-service-timing.html,guides/blogs/filter-coffee-service-service-guide-practical-decisions-for-service-timing.html,40.61,59.39,PASS,3017
services/tamil-cuisine-catering-in-vellore.html,services/multi-cuisine-catering-in-vellore.html,40.59,59.41,PASS,4891
services/multi-cuisine-catering-in-vellore.html,services/tamil-cuisine-catering-in-vellore.html,40.59,59.41,PASS,4683
guides/blogs/how-to-improve-service-timing-for-seemandham-catering-in-vellore-vellore-budget-planning-guide.html,guides/blogs/how-to-improve-service-timing-for-wedding-catering-in-vellore-vellore-budget-planning-guide.html,40.57,59.43,PASS,3378
guides/blogs/how-to-improve-service-timing-for-wedding-catering-in-vellore-vellore-budget-planning-guide.html,guides/blogs/how-to-improve-service-timing-for-seemandham-catering-in-vellore-vellore-budget-planning-guide.html,40.57,59.43,PASS,3380
services/friendship-day-catering-in-vellore.html,services/naming-day-catering-in-vellore.html,40.46,59.54,PASS,4907
servicing-areas/puthur-catering.html,servicing-areas/puthur-r-f-catering.html,40.39,59.61,PASS,4173
servicing-areas/puthur-r-f-catering.html,servicing-areas/puthur-catering.html,40.39,59.61,PASS,4495
guides/blogs/lunch-catering-mistakes-to-avoid-practical-decisions-for-summer-events.html,guides/blogs/lunch-catering-budget-planning-guide-practical-decisions-for-summer-events.html,40.37,59.63,PASS,3033
guides/blogs/lunch-catering-budget-planning-guide-practical-decisions-for-summer-events.html,guides/blogs/lunch-catering-mistakes-to-avoid-practical-decisions-for-summer-events.html,40.37,59.63,PASS,2988
services/bachelor-bachelorette-party-catering-in-vellore.html,services/pool-party-catering-in-vellore.html,40.12,59.88,PASS,4928
servicing-areas/karuthamalai-catering.html,servicing-areas/karuthamalai-r-f-catering.html,40.03,59.97,PASS,4208
servicing-areas/karuthamalai-r-f-catering.html,servicing-areas/karuthamalai-catering.html,40.03,59.97,PASS,4540
servicing-areas/bomminayakkanpalayam-r-f-catering.html,servicing-areas/bomminayakkanpalayam-catering.html,40.01,59.99,PASS,4543
servicing-areas/bomminayakkanpalayam-catering.html,servicing-areas/bomminayakkanpalayam-r-f-catering.html,40.01,59.99,PASS,4189
services/new-year-party-catering-in-vellore.html,services/pool-party-catering-in-vellore.html,40.01,59.99,PASS,5134
services/event-catering-in-vellore.html,services/celebrity-event-catering-in-vellore.html,40.01,59.99,PASS,4663
services/celebrity-event-catering-in-vellore.html,services/event-catering-in-vellore.html,40.01,59.99,PASS,4897
servicing-areas/paravamalai-r-f-catering.html,servicing-areas/paravamalai-catering.html,39.98,60.02,PASS,4565
servicing-areas/paravamalai-catering.html,servicing-areas/paravamalai-r-f-catering.html,39.98,60.02,PASS,4175
services/charity-event-catering-in-vellore.html,services/ngo-event-catering-in-vellore.html,39.92,60.08,PASS,4891
services/ngo-event-catering-in-vellore.html,services/charity-event-catering-in-vellore.html,39.92,60.08,PASS,4875
guides/blogs/how-to-improve-summer-events-for-catering-budget-planning-vellore-mistakes-to-avoid.html,guides/blogs/how-to-improve-summer-events-for-engagement-catering-vellore-mistakes-to-avoid.html,39.9,60.1,PASS,3296
guides/blogs/how-to-improve-summer-events-for-engagement-catering-vellore-mistakes-to-avoid.html,guides/blogs/how-to-improve-summer-events-for-catering-budget-planning-vellore-mistakes-to-avoid.html,39.9,60.1,PASS,3214
services/sports-event-catering-in-vellore.html,services/celebrity-event-catering-in-vellore.html,39.83,60.17,PASS,4911
guides/blogs/wedding-catering-in-vellore-venue-coordination-guide-practical-decisions-for-service-timing.html,guides/blogs/wedding-catering-in-vellore-menu-guide-practical-decisions-for-service-timing.html,39.81,60.19,PASS,3198
guides/blogs/wedding-catering-in-vellore-menu-guide-practical-decisions-for-service-timing.html,guides/blogs/wedding-catering-in-vellore-venue-coordination-guide-practical-decisions-for-service-timing.html,39.81,60.19,PASS,3099
services/north-indian-catering-in-vellore.html,services/south-indian-catering-in-vellore.html,39.72,60.28,PASS,4887
services/south-indian-catering-in-vellore.html,services/north-indian-catering-in-vellore.html,39.72,60.28,PASS,4951
services/vegan-catering-in-vellore.html,services/diet-catering-in-vellore.html,39.63,60.37,PASS,4730
services/diet-catering-in-vellore.html,services/vegan-catering-in-vellore.html,39.63,60.37,PASS,4700
services/box-meal-catering-in-vellore.html,services/packaged-meal-catering-in-vellore.html,39.57,60.43,PASS,4950
servicing-areas/chittoor-road-vellore-catering.html,servicing-areas/chennai-road-vellore-catering.html,39.54,60.46,PASS,4561
servicing-areas/chennai-road-vellore-catering.html,servicing-areas/chittoor-road-vellore-catering.html,39.54,60.46,PASS,4534
services/family-get-together-catering-in-vellore.html,services/milestone-birthday-catering-in-vellore.html,39.52,60.48,PASS,4870
servicing-areas/pallikonda-r-f-catering.html,servicing-areas/pallikonda-catering.html,39.45,60.55,PASS,4548
servicing-areas/pallikonda-catering.html,servicing-areas/pallikonda-r-f-catering.html,39.45,60.55,PASS,4165
guides/blogs/non-vegetarian-catering-food-counter-guide-practical-decisions-for-family-preferences.html,guides/blogs/non-vegetarian-catering-timing-guide-practical-decisions-for-family-preferences.html,39.41,60.59,PASS,3025
guides/blogs/non-vegetarian-catering-timing-guide-practical-decisions-for-family-preferences.html,guides/blogs/non-vegetarian-catering-food-counter-guide-practical-decisions-for-family-preferences.html,39.41,60.59,PASS,2898
servicing-areas/karapattu-catering.html,servicing-areas/karapattu-r-f-catering.html,39.4,60.6,PASS,4174
servicing-areas/karapattu-r-f-catering.html,servicing-areas/karapattu-catering.html,39.4,60.6,PASS,4537
servicing-areas/arasampattu-r-f-catering.html,servicing-areas/arasampattu-catering.html,39.19,60.81,PASS,4565
servicing-areas/arasampattu-catering.html,servicing-areas/arasampattu-r-f-catering.html,39.19,60.81,PASS,4119
services/community-feast-catering-in-vellore.html,services/temple-wedding-catering-in-vellore.html,39.07,60.93,PASS,4958
services/garden-party-catering-in-vellore.html,services/new-year-party-catering-in-vellore.html,39.07,60.93,PASS,4926
servicing-areas/chenji-r-f-catering.html,servicing-areas/chenji-catering.html,39.06,60.94,PASS,4559
servicing-areas/chenji-catering.html,servicing-areas/chenji-r-f-catering.html,39.06,60.94,PASS,4228
services/parent-teacher-meeting-catering-in-vellore.html,services/university-catering-in-vellore.html,39.05,60.95,PASS,4934
services/university-catering-in-vellore.html,services/parent-teacher-meeting-catering-in-vellore.html,39.05,60.95,PASS,4685
services/temple-function-catering-in-vellore.html,services/valaikappu-catering-in-vellore.html,39.0,61.0,PASS,4978
services/valaikappu-catering-in-vellore.html,services/temple-function-catering-in-vellore.html,39.0,61.0,PASS,4748
servicing-areas/kaveripakkam-bus-stand-catering.html,servicing-areas/jolarpet-bus-stand-catering.html,38.96,61.04,PASS,4565
servicing-areas/jolarpet-bus-stand-catering.html,servicing-areas/kaveripakkam-bus-stand-catering.html,38.96,61.04,PASS,4570
services/anniversary-catering-in-vellore.html,services/surprise-party-catering-in-vellore.html,38.94,61.06,PASS,4695
guides/blogs/south-indian-wedding-menus-planning-guide-practical-decisions-for-mixed-menus.html,guides/blogs/south-indian-wedding-menus-guest-count-guide-practical-decisions-for-mixed-menus.html,38.9,61.1,PASS,3110
guides/blogs/south-indian-wedding-menus-guest-count-guide-practical-decisions-for-mixed-menus.html,guides/blogs/south-indian-wedding-menus-planning-guide-practical-decisions-for-mixed-menus.html,38.9,61.1,PASS,3098
guides/blogs/food-hygiene-menu-guide-practical-decisions-for-summer-events.html,guides/blogs/food-hygiene-service-guide-practical-decisions-for-summer-events.html,38.87,61.13,PASS,2912
guides/blogs/food-hygiene-service-guide-practical-decisions-for-summer-events.html,guides/blogs/food-hygiene-menu-guide-practical-decisions-for-summer-events.html,38.87,61.13,PASS,2897
services/hostel-catering-in-vellore.html,services/hospital-staff-catering-in-vellore.html,38.85,61.15,PASS,4648
guides/blogs/how-to-improve-family-preferences-for-dessert-counters-vellore-planning-guide.html,guides/blogs/how-to-improve-family-preferences-for-reception-dinner-catering-vellore-planning-guide.html,38.82,61.18,PASS,3094
guides/blogs/how-to-improve-summer-events-for-wedding-catering-in-vellore-vellore-menu-guide.html,guides/blogs/how-to-improve-summer-events-for-biryani-catering-vellore-menu-guide.html,38.82,61.18,PASS,3311
guides/blogs/how-to-improve-family-preferences-for-reception-dinner-catering-vellore-planning-guide.html,guides/blogs/how-to-improve-family-preferences-for-dessert-counters-vellore-planning-guide.html,38.82,61.18,PASS,3190
guides/blogs/how-to-improve-summer-events-for-biryani-catering-vellore-menu-guide.html,guides/blogs/how-to-improve-summer-events-for-wedding-catering-in-vellore-vellore-menu-guide.html,38.82,61.18,PASS,3113
services/senior-friendly-catering-in-vellore.html,services/halal-catering-in-vellore.html,38.8,61.2,PASS,4722
services/halal-catering-in-vellore.html,services/senior-friendly-catering-in-vellore.html,38.8,61.2,PASS,4714
guides/blogs/how-to-improve-mixed-menus-for-guest-count-planning-vellore-timing-guide.html,guides/blogs/how-to-improve-mixed-menus-for-housewarming-catering-vellore-timing-guide.html,38.76,61.24,PASS,3196
guides/blogs/how-to-improve-mixed-menus-for-housewarming-catering-vellore-timing-guide.html,guides/blogs/how-to-improve-mixed-menus-for-guest-count-planning-vellore-timing-guide.html,38.76,61.24,PASS,3104
services/gluten-free-catering-in-vellore.html,services/vegan-catering-in-vellore.html,38.56,61.44,PASS,4702
guides/blogs/biryani-catering-menu-guide-practical-decisions-for-service-timing.html,guides/blogs/biryani-catering-venue-coordination-guide-practical-decisions-for-service-timing.html,38.5,61.5,PASS,2926
guides/blogs/biryani-catering-venue-coordination-guide-practical-decisions-for-service-timing.html,guides/blogs/biryani-catering-menu-guide-practical-decisions-for-service-timing.html,38.5,61.5,PASS,3032
guides/blogs/how-to-improve-family-preferences-for-housewarming-catering-vellore-checklist.html,guides/blogs/how-to-improve-family-preferences-for-non-vegetarian-catering-vellore-checklist.html,38.39,61.61,PASS,2998
guides/blogs/how-to-improve-family-preferences-for-non-vegetarian-catering-vellore-checklist.html,guides/blogs/how-to-improve-family-preferences-for-housewarming-catering-vellore-checklist.html,38.39,61.61,PASS,3025
guides/blogs/how-to-improve-family-preferences-for-birthday-catering-in-vellore-vellore-timing-guide.html,guides/blogs/how-to-improve-family-preferences-for-breakfast-catering-vellore-timing-guide.html,38.38,61.62,PASS,3294
guides/blogs/how-to-improve-family-preferences-for-breakfast-catering-vellore-timing-guide.html,guides/blogs/how-to-improve-family-preferences-for-birthday-catering-in-vellore-vellore-timing-guide.html,38.38,61.62,PASS,3112
services/seemandham-catering-in-vellore.html,services/annaprasana-catering-in-vellore.html,38.34,61.66,PASS,4709
services/student-hostel-catering-in-vellore.html,services/university-catering-in-vellore.html,38.34,61.66,PASS,4980
services/annaprasana-catering-in-vellore.html,services/seemandham-catering-in-vellore.html,38.34,61.66,PASS,4760
servicing-areas/appukal-catering.html,servicing-areas/appukal-r-f-catering.html,38.33,61.67,PASS,4143
servicing-areas/appukal-r-f-catering.html,servicing-areas/appukal-catering.html,38.33,61.67,PASS,4581
services/satvik-catering-in-vellore.html,services/allergy-aware-catering-in-vellore.html,38.29,61.71,PASS,4719
services/allergy-aware-catering-in-vellore.html,services/satvik-catering-in-vellore.html,38.29,61.71,PASS,4751
services/cradle-ceremony-catering-in-vellore.html,services/kids-party-catering-in-vellore.html,38.27,61.73,PASS,4895
guides/blogs/how-to-improve-service-timing-for-engagement-catering-vellore-menu-guide.html,guides/blogs/how-to-improve-service-timing-for-corporate-catering-vellore-menu-guide.html,38.18,61.82,PASS,3103
guides/blogs/how-to-improve-service-timing-for-corporate-catering-vellore-menu-guide.html,guides/blogs/how-to-improve-service-timing-for-engagement-catering-vellore-menu-guide.html,38.18,61.82,PASS,3094
guides/blogs/school-event-catering-timing-guide-practical-decisions-for-family-preferences.html,guides/blogs/school-event-catering-planning-guide-practical-decisions-for-family-preferences.html,38.12,61.88,PASS,3011
guides/blogs/school-event-catering-planning-guide-practical-decisions-for-family-preferences.html,guides/blogs/school-event-catering-timing-guide-practical-decisions-for-family-preferences.html,38.12,61.88,PASS,3006
guides/blogs/how-to-improve-family-preferences-for-birthday-catering-in-vellore-vellore-planning-guide.html,guides/blogs/how-to-improve-family-preferences-for-dessert-counters-vellore-planning-guide.html,38.04,61.96,PASS,3288
services/healthy-catering-in-vellore.html,services/ayurvedic-catering-in-vellore.html,38.02,61.98,PASS,4683
services/ayurvedic-catering-in-vellore.html,services/healthy-catering-in-vellore.html,38.02,61.98,PASS,4740
servicing-areas/vellore-bus-stand-catering.html,servicing-areas/old-bus-stand-catering.html,37.89,62.11,PASS,4597
servicing-areas/old-bus-stand-catering.html,servicing-areas/vellore-bus-stand-catering.html,37.89,62.11,PASS,4557
services/cafe-catering-in-vellore.html,services/bakery-catering-in-vellore.html,37.87,62.13,PASS,4708
services/bakery-catering-in-vellore.html,services/cafe-catering-in-vellore.html,37.87,62.13,PASS,4678
guides/blogs/temple-function-catering-venue-coordination-guide-practical-decisions-for-service-timing.html,guides/blogs/temple-function-catering-budget-planning-guide-practical-decisions-for-service-timing.html,37.87,62.13,PASS,3097
guides/blogs/temple-function-catering-budget-planning-guide-practical-decisions-for-service-timing.html,guides/blogs/temple-function-catering-venue-coordination-guide-practical-decisions-for-service-timing.html,37.87,62.13,PASS,3099
services/janmashtami-catering-in-vellore.html,services/ram-navami-catering-in-vellore.html,37.85,62.15,PASS,4641
services/ram-navami-catering-in-vellore.html,services/janmashtami-catering-in-vellore.html,37.85,62.15,PASS,4872
services/kosher-catering-in-vellore.html,services/halal-catering-in-vellore.html,37.82,62.18,PASS,4712
services/cloud-kitchen-event-catering-in-vellore.html,services/bakery-catering-in-vellore.html,37.78,62.22,PASS,5141
services/low-calorie-catering-in-vellore.html,services/kosher-catering-in-vellore.html,37.77,62.23,PASS,4687
services/jain-food-catering-in-vellore.html,services/diet-catering-in-vellore.html,37.77,62.23,PASS,4936
services/pooja-catering-in-vellore.html,services/annadhanam-catering-in-vellore.html,37.75,62.25,PASS,4723
services/annadhanam-catering-in-vellore.html,services/pooja-catering-in-vellore.html,37.75,62.25,PASS,4717
guides/blogs/banana-leaf-service-budget-planning-guide-practical-decisions-for-service-timing.html,guides/blogs/banana-leaf-service-mistakes-to-avoid-practical-decisions-for-service-timing.html,37.74,62.26,PASS,3104
guides/blogs/banana-leaf-service-mistakes-to-avoid-practical-decisions-for-service-timing.html,guides/blogs/banana-leaf-service-budget-planning-guide-practical-decisions-for-service-timing.html,37.74,62.26,PASS,3106
services/prasadam-catering-in-vellore.html,services/seemandham-catering-in-vellore.html,37.73,62.27,PASS,4719
services/sashtiapthapoorthi-catering-in-vellore.html,services/seemandham-catering-in-vellore.html,37.71,62.29,PASS,4745
services/baby-shower-catering-in-vellore.html,services/family-get-together-catering-in-vellore.html,37.71,62.29,PASS,4921
services/mutts-ashrams-catering-in-vellore.html,services/temple-wedding-catering-in-vellore.html,37.65,62.35,PASS,4743
servicing-areas/tirupattur-bus-stand-catering.html,servicing-areas/walajapet-bus-stand-catering.html,37.61,62.39,PASS,4591
servicing-areas/walajapet-bus-stand-catering.html,servicing-areas/tirupattur-bus-stand-catering.html,37.61,62.39,PASS,4577
services/onam-catering-in-vellore.html,services/janmashtami-catering-in-vellore.html,37.6,62.4,PASS,4681
guides/blogs/how-to-improve-mixed-menus-for-non-vegetarian-catering-vellore-timing-guide.html,guides/blogs/how-to-improve-mixed-menus-for-housewarming-catering-vellore-timing-guide.html,37.56,62.44,PASS,3115
servicing-areas/ambur-bus-stand-catering.html,servicing-areas/tirupattur-bus-stand-catering.html,37.54,62.46,PASS,4568
services/engagement-catering-in-vellore.html,services/hindu-wedding-catering-in-vellore.html,37.53,62.47,PASS,4707
services/punyavachanam-catering-in-vellore.html,services/temple-function-catering-in-vellore.html,37.53,62.47,PASS,4726
guides/blogs/how-to-improve-mixed-menus-for-venue-coordination-vellore-planning-guide.html,guides/blogs/how-to-improve-mixed-menus-for-non-vegetarian-catering-vellore-planning-guide.html,37.5,62.5,PASS,3120
guides/blogs/how-to-improve-mixed-menus-for-non-vegetarian-catering-vellore-planning-guide.html,guides/blogs/how-to-improve-mixed-menus-for-venue-coordination-vellore-planning-guide.html,37.5,62.5,PASS,3074
guides/blogs/how-to-improve-mixed-menus-for-housewarming-catering-vellore-planning-guide.html,guides/blogs/how-to-improve-mixed-menus-for-housewarming-catering-vellore-timing-guide.html,37.5,62.5,PASS,3069
services/religious-conference-catering-in-vellore.html,services/temple-festival-catering-in-vellore.html,37.48,62.52,PASS,4968
services/tiffin-catering-in-vellore.html,services/restaurant-catering-in-vellore.html,37.39,62.61,PASS,4696
services/restaurant-catering-in-vellore.html,services/tiffin-catering-in-vellore.html,37.39,62.61,PASS,4684
services/gruhapravesam-catering-in-vellore.html,services/sashtiapthapoorthi-catering-in-vellore.html,37.37,62.63,PASS,4748
guides/blogs/birthday-catering-in-vellore-checklist-practical-decisions-for-family-preferences.html,guides/blogs/birthday-catering-in-vellore-guest-count-guide-practical-decisions-for-family-preferences.html,37.37,62.63,PASS,3022
guides/blogs/birthday-catering-in-vellore-guest-count-guide-practical-decisions-for-family-preferences.html,guides/blogs/birthday-catering-in-vellore-checklist-practical-decisions-for-family-preferences.html,37.37,62.63,PASS,3122
services/eid-catering-in-vellore.html,services/pongal-catering-in-vellore.html,37.34,62.66,PASS,4651
services/pongal-catering-in-vellore.html,services/eid-catering-in-vellore.html,37.34,62.66,PASS,4663
guides/blogs/dessert-counters-planning-guide-practical-decisions-for-mixed-menus.html,guides/blogs/dessert-counters-timing-guide-practical-decisions-for-mixed-menus.html,37.31,62.69,PASS,2917
